05/11/15,DATE.,PARTY NAME,PARTY MOULD NO.,MOULD DETAIL,CAVITY,TYPE'S OF MOULD,PART NAME,DWG.NO.,CHALLAN NO.,DIS.DATE,,
1,09.12.2012,INTOL CAST,5294A,REWORK,3,MANUAL,IMPLANT,-,,20.12.2012,,
2,09.12.2012,INTOL CAST,5425A,REWORK,2,AUTOMATIC,IMPLANT,-,,14.12.2012,,
3,10.12.2012,SUMANGLE,2989,NEW,2,MANUAL,HOUSING-C,3016-C,,17.12.2012,,
4,10.12.2012,INTOL CAST,5620A,NEW,4,MANUAL,METAL SHEET DN-40,3602M-50-31-HT-100,414,15.12.2012,,
5,10.12.2012,HI-CON,3264,NEW,1,MANUAL,CHILL DIE,-,403,16.12.2012,,
6,10.12.2012,INTOL CAST,5618A,NEW,2,MANUAL,METAL SHEET DN-50,T-49/84-31M(G1)-HT-ICD,,15.12.2012,,
7,11.12.2012,INTOL CAST,5623A,NEW,2,MANUAL,METAL SHEET DN-80,T-75-125-31(G1)BF-STL-ICD,,15.12.2012,,
8,11.12.2012,HI-CON,2674,NEW,1,MANUAL,CHILL DIE,-,,16.12.2012,,
9,11.12.2012,HI-CON,2615,NEW,1,MANUAL,CHILL DIE,-,403,24.12.2012,,
10,14.12.2012,SUMANGLE,2991,GATE WORK,1,MANUAL,BODY,-,550,5.5.2013,,
11,14.12.2012,INTOL CAST,5606A,NEW,1,MANUAL,"3/4"" X 1/2"" RB BODY",01.F.1.2.L.CB.6.3.0.1.XXXX,416,29.12.2012,,
12,14.12.2012,INTOL CAST,5607A,NEW,1,MANUAL,"3/4"" X 1/2"" RB ADAPTER",02.F.1.2.L.CB.6.3.0.1.XXXX,417,29.12.2012,,
13,14.12.2012,INTRI CAST,5554A,GATE WORK,1,MANUAL,-,-,,19.12.2012,,
14,14.12.2012,INTRI CAST,5555A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
15,14.12.2012,INTRI CAST,5557A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
16,14.12.2012,INTRI CAST,5559A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
17,14.12.2012,INTRI CAST,5560A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
18,14.12.2012,INTRI CAST,5561A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
